Row Labels,Sum of Revenue,,,,,,,
Male,"_17,90,223.00",,,,,,,
Female,"_17,30,761.00",,,,,,,
Grand Total,"_35,20,984.00",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Sum of Revenue,Average of Diff_order_delivery,Average of Customer Spending,,
Row Labels,Sum of Revenue,,,"_35,20,984.00",5.53,"_3,520.98",,
Colors,"_10,05,645.00",,,,,,,
Soft Toys,"_7,40,831.00",,,,,,,
Sweets,"_7,33,842.00",,,,,,,
Cake,"_3,29,862.00",,,,,,,
Raksha Bandhan,"_2,97,372.00",,,,,,,
Plants,"_2,12,281.00",,,,,,,
Mugs,"_2,01,151.00",,Row Labels,Sum of Revenue,,0.003478174,,Strongly Negative = -1
Grand Total,"_35,20,984.00",,January,"_95,468.00",,,,Strongly Positive = 1
,,,February,"_7,04,509.00",,,,Neutral = 0
,,,March,"_5,11,823.00",,,,
,,,April,"_1,40,393.00",,,,
,,,May,"_1,50,346.00",,,,
Row Labels,Sum of Revenue,,June,"_1,57,913.00",,Row Labels,Sum of Revenue,
Magnam Set,"_1,21,905.00",,July,"_1,35,826.00",,Anniversary,"_6,74,634.00",
Quia Gift,"_1,14,476.00",,August,"_7,37,389.00",,Raksha Bandhan,"_6,31,585.00",
Dolores Gift,"_1,06,624.00",,September,"_1,36,938.00",,All Occasions,"_5,86,176.00",
Harum Pack,"_1,01,556.00",,October,"_1,51,619.00",,Holi,"_5,74,682.00",
Deserunt Box,"_97,665.00",,November,"_4,49,169.00",,Birthday,"_4,08,194.00",
Grand Total,"_5,42,226.00",,December,"_1,49,591.00",,Valentine's Day,"_3,31,930.00",
,,,Grand Total,"_35,20,984.00",,Diwali,"_3,13,783.00",
,,,,,,Grand Total,"_35,20,984.00",
,,,,,,,,
,,,,,,,,
Row Labels,Count of Order_ID,,,,,,,
Imphal,29,,,,,,,
Dhanbad,28,,,,,,,
Kavali,27,,,,,,,
Haridwar,24,,,,,Row Labels,Count of Quantity,
Bidhannagar,21,,,,,Anniversary,105.00,
Dibrugarh,21,,,,,Dignissimos Pack,27.00,
Guntakal,20,,,,,Delectus Gift,17.00,
North Dumdum,19,,,,,Maiores Box,16.00,
Bilaspur,18,,,,,Provident Pack,15.00,
Bhatpara,18,,,,,Recusandae Pack,15.00,
Grand Total,225,,,,,Qui Gift,15.00,
,,,,,,Holi,97.00,
,,,,,,Aliquam Box,23.00,
,,,,,,Harum Pack,20.00,
,,,,,,Et Set,19.00,
,,,,,,Nam Gift,18.00,
,,,,,,Quos Box,17.00,
,,,,,,All Occasions,89.00,
,,,,,,Fugit Set,23.00,
,,,,,,Magnam Set,19.00,
,,,,,,Exercitationem Pack,17.00,
,,,,,,Expedita Gift,16.00,
,,,,,,Nihil Box,14.00,
,,,,,,Birthday,87.00,
,,,,,,Ad Box,23.00,
,,,,,,Iusto Set,17.00,
,,,,,,Deserunt Box,17.00,
,,,,,,Accusantium Gift,15.00,
,,,,,,Fuga Set,15.00,
,,,,,,Raksha Bandhan,83.00,
,,,,,,Nostrum Box,18.00,
,,,,,,Aperiam Box,18.00,
,,,,,,Dolores Gift,17.00,
,,,,,,Ipsam Set,16.00,
,,,,,,Placeat Pack,14.00,
,,,,,,Grand Total,461.00,
